Id;Logradouro;Complemento;Bairro;Cidade;UF;CEP;Fone;Inet_DataAlteracao
30838;Rua Cel. Revoredo Filho, 45;;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
30840;¹²³£¢¬§ªº°;NULL;NULL;NULL;NULL;NULL;NULL;NULL
30841;RUA 117, Nº 160;;Timbó;MARACANAÚ;CE;61936170;85 32323232;NULL
30842;Rua teste, 99;CASA 1;CENTRO;CEARÁ-MIRIM;RN;59570000;;NULL
381;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
30843;RUA JOÃO CANDIDO, N 54;NULL;OLINDA;NULL;NULL;NULL;NULL;NULL
30844;rua 15 de abril Nº 30;ap 203;jordão;RECIFE;PE;5500000;;NULL
30845;RUA C 50 N 56;NENHUM;BENEDITO BENTES;MACEIÓ;AL;57084124;;NULL
684;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
30846;BNEDITO BENTES II;;BENEDITO;MACEIÓ;AL;570000000;;NULL
1056;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
1863;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
1870;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
1871;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
1873;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
1875;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
1876;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
1877;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
1880;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
1881;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
1883;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
1884;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
1885;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
28324;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
30392;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
30401;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
30402;Rua Cel. Revoredo Filho, 45;NULL;Neópolis;Natal;RN;59088-755;(84) 3608-1154;NULL
